timestamp,hr_bpm_cleaned,smooth_ema,sender_ms,latency_ms_ema,throughput_Bps,rtt_ms_ema,Huwaei HR 
2025-12-11T16:00:22,140,109,2898699,3.708,5.89,22.628,82
2025-12-11T16:00:38,125,103,2914499,2.966,4.43,35.651,80
2025-12-11T16:00:46,154,105.8,2922349,8.005,4.44,33.811,82
2025-12-11T16:00:53,75,88.1,2930249,6.404,6.6,23.705,80
2025-12-11T16:01:01,98,80.6,2938201,7.212,5.82,25.953,81
2025-12-11T16:01:09,125,81.7,2946098,5.77,5.82,21.921,82
2025-12-11T16:01:17,78,70.8,2953999,4.616,5.77,15.396,81
2025-12-11T16:01:25,164,84.1,2961900,4.69,5.82,15.662,82
2025-12-11T16:01:33,174,96.5,2969800,3.752,5.86,15.424,82
2025-12-11T16:01:41,120,92.4,2977700,4.177,5.86,15.366,82
2025-12-11T16:01:49,213,112.6,2985601,4.566,5.91,18.718,83
2025-12-11T16:01:57,115,103.2,2993553,3.653,5.9,18.424,82
2025-12-11T16:02:13,160,107.4,3009354,7.319,4.42,17.731,83
2025-12-11T16:02:20,110,98,3017250,5.856,4.43,16.324,81
2025-12-11T16:02:28,130,96,3025151,4.684,6.66,25.048,81
2025-12-11T16:02:36,133,95.3,3033051,3.748,5.91,24.441,81
2025-12-11T16:02:44,174,105,3041003,2.998,5.89,22.408,82
2025-12-11T16:02:52,97,93,3048903,3.73,5.85,19.947,82
2025-12-11T16:03:00,92,82.7,3056804,3.255,5.81,16.567,82
2025-12-11T16:03:08,73,70.3,3064754,3.745,5.77,16.644,81
2025-12-11T16:03:16,130,75.2,3072654,3,5.77,14.253,82
2025-12-11T16:03:24,185,92.7,3080555,2.4,5.81,12.948,81
2025-12-11T16:03:32,84,80.5,3088451,3.825,5.82,11.836,80
2025-12-11T16:03:40,58,64.9,3096352,3.06,5.82,11.228,80
2025-12-11T16:03:47,105,64.9,3104252,2.448,5.82,20.881,80
2025-12-11T16:03:55,90,61.2,3112204,1.958,5.77,23.204,80
